PLUAD_name;DEP_num;NameEn;NameRus;NameKg;Length;type
RD1;1;"Bishkek-""Manas"" airport";"Бишкек - Аэропорт ""Манас""";"Бишкек - ""Манас Аэропорту""";36,5;inter
RD1;1;Bishkek-Kuntuu-Shopokov;Бишкек - Кунтуу - Шопоков;Бишкек - Кунтуу - Шопоков;27;nat
RD1;1;Sokuluk-Kamyshanovka ;Сокулук - Камышановка;Сокулук - Камышановка;39;nat
RD1;1;Romanovka-50 let Kamyshanovka;Романовка - 50 лет Камышановка;Романовка - 50 лет Камышановка;34;nat
RD1;1;Kirkomstrom-Jal-Alamedin ;Киркомстром - Джал - Аламедин;Киркомстром - Жал - Аламедин;14;loc
RD1;1;Jal-Orok ;Джал - Орок;Жал - Орок;3;loc
RD1;1;Kara Sakal-Belek ;Кара Сакал - Белек;Кара Сакал - Белек;11;loc
RD1;1;Romanovka-Zhany Zher-23km D.Shorgo ;Романовка - Джаны Жер - 23 км Д.Шорго;Романовка - Джаны Жер - 23 км Д.Шорго;8;loc
RD1;1;Tokbaev-Baigeldi with access road to Kuntuu v. ;Токбаев - Байгельди с подъездной дорогой к селу Кунтуу;Токбаев - Байкелди Кунтуу айылына кирме жолу менен;12;loc
RD1;1;Sokuluk-Panfilov-Chatkul ;Сокулук - Панфилов - Чаткуль;Сокулук - Панфилов - Чаткул;16;loc
RD1;1;Sokuluk-Aral ;Сокулук - Арал;Сокулук - Арал;5;loc
RD1;1;Sokuluk-Zhalamysh-MTF ;Сокулук - Жаламыш - МТФ;Сокулук - Жаламыш - МТФ;40,7;loc
RD1;1;Karasakal-Tokbaev with access road to Kyzyltuu v.;Карасакал - Токбаев с подъездной дорогой к селу Кызылтуу;Карасакал - Токбаев Кызылтуу айылына кирме жолу менен;14;loc
RD1;1;Tyuz-Sokuluk-Vodohranilishe;Тюз - Сокулук - Водохранилище;Т?з - Сокулук - Водохранилище;8;loc
RD1;1;Baly-stan kolhoza ;Балы - стан колхоза;Балы - стан колхоза;19;loc
RD1;1;Access road to Shalta v.;Подъездная дорога к селу Шалта;Шалта айылына кирме жолу;2;loc
RD1;1;Baitik-Archaly-Jal ;Байтик - Арчалы - Джал;Байтик - Арчалы - Жал;9;loc
RD1;1;Baigeldi-Jal-Orok ;Байгельди - Джал - Орок;Байкелди - Жал - Орок;2,8;loc
RD1;1;"Chonaryk-""Alaarcha"" National Park";"ЧонАрык - Национальный парк ""Ала-Арча""";"Чон-Арык - Национальный парк ""Ала-Арча""";29,4;nat
RD1;25;Balykchy-Bokonbayevo-Karakol;Балыкчы - Боконбаево - Каракол ;Балыкчы - Боконбаево - Каракол ;56;inter
RD1;25;Balykchy-Ananyevo-Karakol;Балыкчы - Ананьево - Каракол;Балыкчы - Ананьево - Каракол;40;inter
RD1;25;Bishkek-Torugart;Бишкек - Торугарт;Бишкек - Торугарт;56;inter
RD1;25;Balykchy-Bokonbayevo-Karakol 16 km Bishkek-Torugart 194 км;Балыкчы - Боконбаево - Каракол 16 км Бишкек - Торугарт 194 км;Балыкчы - Боконбаево - Каракол 16 км Бишкек - Торугарт 194 км;12;nat
RD1;25;Semiz Bel-Ottuk ;Семиз Бел - Оттук;Семиз Бел - Оттук;30;nat
RD1;25;Bokonbaevo-Don Tala-Ottuk;Боконбаево - Дон Тала - Оттук;Боконбаево - Дон Тала - Оттук;44;nat
RD1;25;Ala Bash-Sary Bel;Ала Баш - Сары Бел;Ала Баш - Сары Бел;45;loc
RD1;25;Kara Tala-Tuura Suu;Кара Тала - Туура Суу;Кара Тала - Туура Суу;26;loc
RD1;25;Ak-Terek-Don Talaa;Ак Терек - Дон Талаа;Ак Терек - Дон Талаа;15;loc
RD1;25;Sary Kamysh-Chok Tal-Oi Bulak;Сары Камыш - Чок Тал - Ой Булак;Сары Камыш - Чок Тал - Ой Булак;10;loc
RD1;25;Chyrpykty-Achyk Tash;Чырпыкты - Ачык Таш;Чырпыкты - Ачык Таш;9,5;loc
RD1;25;Chyrpykty-Kabyrga;Чырпыкты - Кабырга ;Чырпыкты - Кабырга ;16,1;loc
RD1;25;Karakol-Barskoon through Enilchek v.;Каракол - Барскоон через село Энилчек;Каракол - Барскоон через село Энилчек;136;inter
RD1;25;Boz-Uchuk-sh.Zhyrgalan;Боз - Учук - Жыргалан;Боз - Учук - Жыргалан;30;nat
RD1;25;Karakol-Razdolnoye-Sovetskoye-Syrzavod;Каракол - Раздольное - Советское - Сырзавод;Каракол - Раздольное - Советское - Сырзавод;51;nat
RD1;25;Karkyra-Turuk-Sary Zhaz-Ottuk;Каркыра - Турук - Сары Жаз - Оттук;Каркыра - Турук - Сары Жаз - Оттук;76;nat
RD1;25;Teploklyuchenka-Ak-Suu resort;Теплоключенка - парк Ак Суу;Теплоключенка - парк Ак Суу;7;nat
RD1;25;Karakol c.-Karakol stow ;Каракол - урочище Каракол;Каракол - урочище Каракол;30;loc
RD1;25;Leskhoz-Arashan stow;Лесхоз - Урочище Арашан;Лесхоз - Урочище Арашан;25;loc
RD1;28;Gosdoroga-Uch Kaynar v.;Госдорога - село Уч Кайнар;Госдорога - село Уч Кайнар;6;loc
RD1;28;Ak Bulun-Toktogul;Ак Булун - Токтогул;Ак Булун - Токтогул;8;loc
RD1;28;Boz Uchuk-Enchilesh;Боз Учук - Энилчек;Боз Учук - Энилчек;4;loc
RD1;28;Enilchek stow-Kaiyndy stow;урочище Энилчек - урочище Кайынды;урочище Энилчек - урочище Кайынды;45;loc
RD1;28;Gosdoroga-Kaiyrma-Aryk;Госдорога - Кайырма - Арык;Госдорога - Кайырма - Арык;3;loc
